# z   15.0  15.5  16.0  16.5  17.0  17.5  18.0  18.5  19.0  19.5  20.0  20.5  21.0  21.5  22.0  22.5  23.0  23.5  24.0  24.5  25.0  25.5  26.0  26.5  27.0  27.5  28.0  28.5  29.0  29.5
1.300e-01 1.948e-03 1.131e-02 3.217e-02 5.581e-02 6.880e-02 6.696e-02 5.534e-02 4.085e-02 2.788e-02 1.803e-02 1.123e-02 6.813e-03 4.061e-03 2.391e-03 1.396e-03 8.100e-04 4.681e-04 2.698e-04 1.552e-04 8.912e-05 5.118e-05 2.961e-05 2.782e-05 2.782e-05 2.782e-05 2.782e-05 2.782e-05 2.782e-05 2.782e-05 2.782e-05
1.400e-01 6.997e-04 5.825e-03 2.125e-02 4.380e-02 6.084e-02 6.430e-02 5.626e-02 4.320e-02 3.030e-02 1.996e-02 1.260e-02 7.714e-03 4.627e-03 2.736e-03 1.602e-03 9.316e-04 5.392e-04 3.110e-04 1.790e-04 1.029e-04 5.909e-05 3.419e-05 3.213e-05 3.213e-05 3.213e-05 3.213e-05 3.213e-05 3.213e-05 3.213e-05 3.213e-05
1.500e-01 2.292e-04 2.806e-03 1.336e-02 3.312e-02 5.227e-02 6.034e-02 5.612e-02 4.495e-02 3.246e-02 2.183e-02 1.397e-02 8.636e-03 5.215e-03 3.098e-03 1.820e-03 1.060e-03 6.147e-04 3.550e-04 2.044e-04 1.175e-04 6.755e-05 3.910e-05 3.674e-05 3.674e-05 3.674e-05 3.674e-05 3.674e-05 3.674e-05 3.674e-05 3.674e-05
1.600e-01 6.859e-05 1.266e-03 8.011e-03 2.417e-02 4.369e-02 5.542e-02 5.500e-02 4.608e-02 3.433e-02 2.359e-02 1.532e-02 9.570e-03 5.821e-03 3.475e-03 2.048e-03 1.196e-03 6.946e-04 4.015e-04 2.315e-04 1.331e-04 7.655e-05 4.431e-05 4.164e-05 4.164e-05 4.164e-05 4.164e-05 4.164e-05 4.164e-05 4.164e-05 4.164e-05
1.700e-01 1.877e-05 5.358e-04 4.583e-03 1.704e-02 3.558e-02 4.986e-02 5.302e-02 4.659e-02 3.588e-02 2.522e-02 1.664e-02 1.051e-02 6.441e-03 3.865e-03 2.286e-03 1.339e-03 7.787e-04 4.507e-04 2.600e-04 1.497e-04 8.608e-05 4.984e-05 4.684e-05 4.684e-05 4.684e-05 4.684e-05 4.684e-05 4.684e-05 4.684e-05 4.684e-05
1.800e-01 4.706e-06 2.129e-04 2.505e-03 1.161e-02 2.824e-02 4.398e-02 5.032e-02 4.651e-02 3.709e-02 2.670e-02 1.792e-02 1.145e-02 7.072e-03 4.268e-03 2.534e-03 1.488e-03 8.669e-04 5.024e-04 2.901e-04 1.671e-04 9.613e-05 5.568e-05 5.233e-05 5.233e-05 5.233e-05 5.233e-05 5.233e-05 5.233e-05 5.233e-05 5.233e-05
1.900e-01 1.081e-06 7.953e-05 1.310e-03 7.657e-03 2.187e-02 3.808e-02 4.705e-02 4.586e-02 3.794e-02 2.802e-02 1.914e-02 1.238e-02 7.711e-03 4.681e-03 2.790e-03 1.643e-03 9.592e-04 5.566e-04 3.217e-04 1.854e-04 1.067e-04 6.183e-05 5.811e-05 5.811e-05 5.811e-05 5.811e-05 5.811e-05 5.811e-05 5.811e-05 5.811e-05
2.000e-01 2.279e-07 2.794e-05 6.549e-04 4.890e-03 1.654e-02 3.237e-02 4.336e-02 4.470e-02 3.844e-02 2.917e-02 2.029e-02 1.329e-02 8.354e-03 5.102e-03 3.055e-03 1.804e-03 1.055e-03 6.132e-04 3.548e-04 2.046e-04 1.178e-04 6.829e-05 6.418e-05 6.418e-05 6.418e-05 6.418e-05 6.418e-05 6.418e-05 6.418e-05 6.418e-05
2.100e-01 4.409e-08 9.235e-06 3.136e-04 3.026e-03 1.222e-02 2.703e-02 3.942e-02 4.310e-02 3.860e-02 3.012e-02 2.136e-02 1.418e-02 8.999e-03 5.531e-03 3.326e-03 1.970e-03 1.155e-03 6.722e-04 3.893e-04 2.246e-04 1.294e-04 7.505e-05 7.054e-05 7.054e-05 7.054e-05 7.054e-05 7.054e-05 7.054e-05 7.054e-05 7.054e-05
2.200e-01 7.838e-09 2.875e-06 1.439e-04 1.815e-03 8.825e-03 2.219e-02 3.537e-02 4.112e-02 3.842e-02 3.087e-02 2.235e-02 1.505e-02 9.640e-03 5.966e-03 3.604e-03 2.142e-03 1.258e-03 7.335e-04 4.252e-04 2.456e-04 1.416e-04 8.211e-05 7.718e-05 7.718e-05 7.718e-05 7.718e-05 7.718e-05 7.718e-05 7.718e-05 7.718e-05
2.300e-01 1.281e-09 8.434e-07 6.326e-05 1.056e-03 6.232e-03 1.792e-02 3.133e-02 3.883e-02 3.793e-02 3.143e-02 2.324e-02 1.588e-02 1.028e-02 6.404e-03 3.888e-03 2.318e-03 1.365e-03 7.970e-04 4.626e-04 2.673e-04 1.542e-04 8.947e-05 8.410e-05 8.410e-05 8.410e-05 8.410e-05 8.410e-05 8.410e-05 8.410e-05 8.410e-05
